std_smiles,pIC50,activity_class
FC(F)(F)c1cccc(Nc2nc3ccccc3nc2Nc2cccc(C(F)(F)F)c2)c1,5.391796062778831,Active
COc1ccc2nc3cc(Cl)ccc3c(NCCCCn3cnc([N+](=O)[O-])n3)c2c1,6.82102305270683,Active
Cn1nccc1C(=O)Nc1nc2cccnc2n1CC(F)(F)F,5.4089353929735005,Active
COC(=O)C1=NN(c2ccccc2)C2=CNc3c(C)cccc3N21,4.1938200260161125,Inactive
Cc1ccc(-c2cncc(Cn3ccn4cc([N+](=O)[O-])nc4c3=O)c2)cc1,6.920818753952375,Active
Br/C=C/c1ccc2ccccc2n1,5.522878745280337,Active
N#C[Se]Cc1ccccc1[N+](=O)[O-],5.73754891026957,Active
OC[C@H]1O[C@@H](n2ccc3c(N4CCC4)ncnc32)[C@H](O)[C@@H]1O,5.175874166083451,Active
CCC/C=C/CCCNC(=O)c1ccc(OC)cc1,4.586700235918748,Inactive
CC(C)c1n[nH]c2c(NC34CC5CC(CC(C5)C3)C4)ncnc12,5.913640169325252,Active
CC1CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,5.026872146400302,Active
O=S(=O)(Nc1ccc([Se][Se]c2ccc(NS(=O)(=O)c3cccc4cccnc34)cc2)cc1)c1cccc2cccnc12,5.454074670644157,Active
O=C(CCN1CCN(c2ccc(F)cc2)CC1)c1ccc(C(F)(F)F)cc1,4.219682687859849,Inactive
COc1cc2c(cc1C(C)N1CCCC1)C=CC(C)(C)O2,4.166215625343521,Inactive
Cn1/c(=N/C=C/c2sc3ccc(F)cc3[n+]2C)sc2ccccc21,7.508638306165727,Active
CS(=O)(=O)NC1CCN(C(c2cccnc2)c2ccc(Cl)cc2F)CC1,7.080921907623926,Active
CCCCC(=O)OC1(C)c2ccccc2-c2c1c(-n1ccnc1)nc1ccc(Br)cc21,5.835647144215563,Active
O=C(N1CCN(C(c2cccnc2)c2ccc(Cl)cc2F)CC1)C(F)(F)F,6.494850021680094,Active
Nc1ncnc2c1c(-c1ccc(Cl)cc1Cl)cn2[C@@H]1O[C@H](CO)C[C@H]1O,6.346787486224656,Active
O=C(/C=C/c1ccccc1)N/N=C/c1ccc(O)c(O)c1,3.9706162223147903,Inactive
Cc1cc(C)c(Oc2nc(Cl)nc(Nc3ccc(C#N)cc3)n2)c(C)c1,5.129011186239425,Active
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,4.995678626217358,Inactive
COC1C=C(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)[C@H](C)C2)C=CC1C1CC1,6.6020599913279625,Active
CCN1/C(=C/C=C/c2oc3ccccc3[n+]2C)Sc2ccc(F)cc21,6.581698708680254,Active
CCCn1cc/c(=N\c2cnccn2)c2ccc(-c3cnc(N4CCCN(C)CC4)nc3)cc21,5.6777807052660805,Active
CN(CC1CCn2cc([N+](=O)[O-])nc2O1)c1ccc(OC(F)(F)F)cc1,6.657577319177793,Active
Clc1ccc(-c2ccc(CN3C4=NCCN4c4ccccc43)cc2)cc1,5.254925208417943,Active
NCCCCNCc1ccc(OC2=CC(=O)c3cc4ccccc4cc3C2=O)cc1,4.730487055782084,Inactive
O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc([N+](=O)[O-])o1,5.366531544420414,Active
O=C(O)c1ccccc1C(=O)Nc1ccc([Se][Se]c2ccc(NC(=O)c3ccccc3C(=O)O)cc2)cc1,5.34008379993015,Active
COc1ccc(OC)c(/C=N/NC(=O)CN2CCc3sccc3C2)c1,3.162051902802238,Inactive
O=C(CSC[C@H](O)CO)OCc1ccccc1,3.673664139071248,Inactive
O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1,4.7607110341809005,Inactive
Cc1ccc(N2CCN(C(=O)c3cc4c([nH]c5ccccc54)c(-c4ccccc4)n3)CC2)cc1,5.101549080801625,Active
CCc1ccc(C2=NN(C(C)=O)C(c3ccc([N+](=O)[O-])s3)O2)cc1,4.968995718636463,Inactive
CCCCNc1nc2cc(OC)ccc2nc1Cl,4.305394801066432,Inactive
Cc1ccc([Te]Cc2ccc(S(N)(=O)=O)cc2)cc1,5.46344155742847,Active
CCCc1ccc(Oc2cc(CCC)cc(OC)c2OC)c(OC)c1,4.876148359032914,Inactive
COc1ccc(-c2cnc(NC(=O)C3CCCC3)n2C)cc1,4.080921907623926,Inactive
O=C(NOCc1ccccc1)[C@H](O)[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1,4.481486060122113,Inactive
COc1nc2ccc(Br)cc2cc1C(c1ccccc1)n1ccnc1,6.337242168318426,Active
Nc1ccccc1-c1c[nH]c2c3ccccc3nc-2c1,4.950781977329818,Inactive
COc1ccc([C@H]2O[C@H](c3ccc(OC)c(OC)c3)[C@@H](C)[C@H]2C)cc1OC,4.913640169325252,Inactive
O=S(=O)(Nc1ccc2cn[nH]c2c1)c1ccc(F)cc1,3.966978555317089,Inactive
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ncccc1-c1ccc(OC(F)(F)F)cc1)C2,5.200659450546418,Active
COc1ccccc1N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,7.698970004336019,Active
Cc1nn(-c2ccccn2)cc1C(=O)Nc1ccc2c(c1)B(O)OC2,5.2441251443275085,Active
O=S(=O)(NC1CCN(C(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1)C1CCCCC1,6.552841968657781,Active
Cc1ccccc1OCC(=O)N1CCCN(c2cccnn2)CC1,6.299997602857746,Active
COc1cc(C2=NCCN2)cc2cc(-c3ccc(C4=NCCN4)cc3)oc12,4.875169850586141,Inactive
O=C(NCCSCCNC(=O)c1cc(Br)c(Br)[nH]1)c1cc(Br)c(Br)[nH]1,4.619788758288394,Inactive
O=C(c1ccc(F)cc1)N1CCCC(c2cc3nc(N4CCCC4)ccc3[nH]2)C1,4.37906742787481,Inactive
CS(=O)(=O)c1ccc(N2CCN(C(=O)C(c3ccc(Cl)cc3)c3cncnc3)CC2)cc1,7.149261892768803,Active
C=CC[n+]1ccc2c(c1)[nH]c1ccc(Br)cc12,4.062482107982653,Inactive
O=[N+]([O-])c1ncn(Cc2cn(-c3ccc(Cl)cc3)nn2)n1,5.327902142064283,Active
Nc1ncnc2c1c(C#Cc1ccccc1)nn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.306273051076353,Inactive
COC(=O)CCn1c2ccc([N+](=O)[O-])cc2c(=O)n1Cc1ccccc1,5.217527375833714,Active
Clc1ccc(NCc2cncn2Cc2ccc(-c3ccccc3)cc2)cc1N1CCCCC1,7.27083521030723,Active
COc1ccc2nc(-c3ccc(Cl)cc3)c(-c3ccc([S+](C)[O-])cc3)nc2c1,4.899974269892137,Inactive
O=C1C=C(N2CCN(Cc3ccccc3)CC2)c2cccc3cccc1c23,5.267606240177032,Active
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccccc1F,6.958607314841775,Active
CCCCCCCCc1cn(Cc2ccccc2)nn1,4.655607726314889,Inactive
COc1cc(CCc2cccc(Oc3ccc(C(C)(C)C)cc3)c2)oc(=O)c1,4.443697499232712,Inactive
N#Cc1c(NS(=O)(=O)c2ccccc2[N+](=O)[O-])[n+]([O-])c2ccc(Cl)cc2[n+]1[O-],5.508638306165727,Active
CN(C)c1nccn2c(-c3ccncc3)c(-c3ccc(F)cc3)nc12,5.562249437179612,Active
CCCOc1ccc(C2=NN(C(C)=O)C(c3ccc([N+](=O)[O-])s3)O2)cc1,4.913640169325252,Inactive
COc1cccc2c1C(=O)C=C(Oc1ccc(C)cc1)C2=O,5.578396073130169,Active
Cc1cc(C)c([Se]Cc2cn(-c3ccccc3)nn2)c(C)c1,4.406713932979542,Inactive
