feature,mean_shap,abs_mean_shap,std_shap,type
mordred_MATS6d,-0.00048189025,0.015113287,0.021423804,Mordred 2D
mordred_GATS4i,-0.00039508042,0.014994411,0.02007575,Mordred 2D
mordred_ATSC2Z,0.0028078915,0.014951906,0.021705,Mordred 2D
mordred_SMR_VSA4,-0.001961823,0.014829943,0.021769986,Mordred 2D
mordred_ATSC2v,0.0018409004,0.014813237,0.029665304,Mordred 2D
mordred_MATS3pe,0.0018366926,0.01476496,0.02021839,Mordred 2D
mordred_MATS7p,-0.00042762762,0.01463364,0.018505689,Mordred 2D
mordred_GATS1c,0.0010352415,0.014615759,0.018824585,Mordred 2D
mordred_ATSC3se,0.0024139392,0.014565489,0.017961912,Mordred 2D
rdkit_qed,-0.0017855961,0.014480078,0.020585336,RDKit 2D
mordred_AATSC6v,-0.0007913509,0.014465591,0.018119153,Mordred 2D
ECFP6_186,0.0076858117,0.014465546,0.056913204,ECFP6 Fingerprint
mordred_AATSC8Z,0.00017088949,0.014413676,0.01791841,Mordred 2D
mordred_GGI4,-0.0011443149,0.014300037,0.0169438,Mordred 2D
mordred_AATS8s,0.0024451176,0.014281504,0.018679228,Mordred 2D
mordred_ATSC8s,7.712605e-06,0.014270901,0.018677805,Mordred 2D
mordred_GATS7d,-0.00033105494,0.014266459,0.019311173,Mordred 2D
ECFP6_781,-0.0012118862,0.014260506,0.059286512,ECFP6 Fingerprint
mordred_ATSC7se,0.0016235899,0.014257868,0.018366596,Mordred 2D
mordred_ATSC6Z,0.0007919694,0.014244422,0.018541295,Mordred 2D
mordred_MATS5s,0.0002790514,0.014239459,0.020743923,Mordred 2D
mordred_PEOE_VSA6,0.00024181066,0.01417711,0.021138735,Mordred 2D
mordred_GATS4s,0.00023497023,0.014147867,0.0180633,Mordred 2D
mordred_MATS8i,-4.735518e-06,0.014129823,0.018954927,Mordred 2D
mordred_GATS6d,0.0019200472,0.014106117,0.01801682,Mordred 2D
mordred_ATSC7i,0.0015551578,0.014074943,0.021425778,Mordred 2D
mordred_PEOE_VSA10,0.000834721,0.013987356,0.020187695,Mordred 2D
mordred_MATS4se,0.0006249216,0.013891372,0.019084213,Mordred 2D
mordred_ATSC2i,0.0005408571,0.013806931,0.017150804,Mordred 2D
mordred_GATS4d,0.00077992445,0.013771414,0.018836973,Mordred 2D
mordred_MATS6se,0.0008807063,0.013766981,0.02045381,Mordred 2D
mordred_BertzCT,-0.000831457,0.013695004,0.018238677,Mordred 2D
MACCS_37,0.0020606795,0.013674846,0.032623593,MACCS Key
mordred_ATSC1pe,-0.00056906795,0.013674213,0.01975546,Mordred 2D
mordred_MATS6Z,-0.0016899756,0.013618014,0.01900462,Mordred 2D
rdkit_PEOE_VSA14,0.003869181,0.013556852,0.029539129,RDKit 2D
mordred_AATSC2Z,0.0014183153,0.01353231,0.021502525,Mordred 2D
mordred_GATS2c,-0.0008463396,0.013509339,0.018004267,Mordred 2D
mordred_MATS3i,-0.0011573507,0.013502899,0.02003746,Mordred 2D
mordred_GATS3p,0.0008628877,0.013494494,0.02018256,Mordred 2D
mordred_VR3_A,0.003050935,0.013469559,0.017185427,Mordred 2D
mordred_ATS3Z,-0.0019246935,0.013464224,0.01735632,Mordred 2D
mordred_ATSC5c,0.0008653183,0.0134319905,0.020500824,Mordred 2D
mordred_ATSC6se,0.0005643321,0.013403329,0.030220577,Mordred 2D
mordred_ATSC4v,-0.0006407054,0.013399776,0.017321793,Mordred 2D
mordred_GATS6i,0.00064266875,0.013369451,0.017762989,Mordred 2D
mordred_ATSC8p,-0.00045850998,0.013333142,0.017102351,Mordred 2D
mordred_AATSC8i,0.00013634622,0.013221432,0.017443204,Mordred 2D
mordred_GATS7c,3.2168264e-05,0.013215662,0.020601105,Mordred 2D
mordred_ATSC4se,-0.0003621762,0.012991846,0.018465692,Mordred 2D
mordred_GATS4se,0.00016000384,0.012754527,0.019219618,Mordred 2D
mordred_AATSC5i,-0.00014684077,0.012740158,0.016807452,Mordred 2D
mordred_ATSC7p,2.386598e-05,0.0127115995,0.019946508,Mordred 2D
mordred_ATSC4i,0.00096843333,0.012679913,0.021893915,Mordred 2D
mordred_PEOE_VSA11,-0.00021378654,0.0126674175,0.01895509,Mordred 2D
mordred_GATS6dv,-0.00015660065,0.012650575,0.018483015,Mordred 2D
mordred_ATS7dv,0.0009774554,0.012582306,0.016888784,Mordred 2D
mordred_EState_VSA3,0.0003155255,0.01256616,0.019232402,Mordred 2D
ECFP6_1390,0.0041658576,0.012543132,0.061911378,ECFP6 Fingerprint
mordred_Kier3,0.0013328979,0.0125355,0.015405274,Mordred 2D
mordred_ATSC1c,0.0014217929,0.0125116175,0.016758867,Mordred 2D
mordred_AATS4d,0.00047887594,0.012497952,0.017357547,Mordred 2D
mordred_MATS5i,0.00026284606,0.012487642,0.016238257,Mordred 2D
mordred_AATSC5v,0.00023906212,0.01242395,0.018010164,Mordred 2D
mordred_GATS6p,0.00036027213,0.012416732,0.016399566,Mordred 2D
rdkit_BCUT2D_CHGHI,0.0007213974,0.01240895,0.017155183,RDKit 2D
mordred_ATSC0c,6.0129354e-05,0.012401537,0.018531987,Mordred 2D
mordred_AATS7v,0.0039968323,0.012374973,0.022704538,Mordred 2D
ECFP6_3169,0.0038332588,0.012346684,0.053780112,ECFP6 Fingerprint
mordred_SlogP_VSA2,6.0913688e-05,0.012343313,0.025624102,Mordred 2D
mordred_TIC0,0.0015273392,0.01233949,0.01708751,Mordred 2D
mordred_MAXaaCH,-0.0016292748,0.012266655,0.01809663,Mordred 2D
mordred_AATSC1dv,0.00056100724,0.012208891,0.018864783,Mordred 2D
mordred_ATSC7d,0.0009128159,0.012145197,0.016430369,Mordred 2D
mordred_MATS7d,-0.00076194276,0.012137844,0.019224565,Mordred 2D
mordred_ATSC6c,-9.5973395e-05,0.012120327,0.015356743,Mordred 2D
mordred_GATS4dv,0.00026988264,0.012029606,0.017429076,Mordred 2D
mordred_VR1_A,0.00016500299,0.011925856,0.015813814,Mordred 2D
mordred_SMR_VSA9,6.159211e-05,0.01185417,0.0169534,Mordred 2D
mordred_ATSC2p,-0.00084094994,0.01183466,0.016678084,Mordred 2D
mordred_MATS8s,0.00040949005,0.011813702,0.015191671,Mordred 2D
mordred_BCUTd-1l,-0.0009951937,0.01173857,0.017393008,Mordred 2D
mordred_GATS2p,0.0010474715,0.011736298,0.015013578,Mordred 2D
mordred_Kier2,-0.00031055705,0.011715012,0.016756335,Mordred 2D
mordred_GATS5s,0.00021578748,0.0116750365,0.0169074,Mordred 2D
mordred_ATSC5dv,-0.0007201666,0.011645125,0.020003585,Mordred 2D
mordred_MATS5d,-0.0004587035,0.011594775,0.015164492,Mordred 2D
mordred_GATS7s,-0.0002866571,0.011572489,0.014843886,Mordred 2D
mordred_AATS1i,0.0034484703,0.011554864,0.017261501,Mordred 2D
mordred_GATS2v,0.001964802,0.011495134,0.014483077,Mordred 2D
mordred_AATS4p,0.0015240466,0.011465176,0.018000722,Mordred 2D
mordred_MATS5se,-0.00043519182,0.011435147,0.017521068,Mordred 2D
mordred_ATSC1dv,0.0004311869,0.011383831,0.01604404,Mordred 2D
mordred_ATSC8Z,0.00024391992,0.011356844,0.018123416,Mordred 2D
mordred_MATS1se,6.359261e-05,0.011353305,0.015843831,Mordred 2D
mordred_MATS5p,-0.00045871703,0.01132883,0.017239079,Mordred 2D
mordred_VSA_EState8,0.00058640615,0.01130536,0.015211837,Mordred 2D
mordred_AATSC3v,-1.1364865e-05,0.011301722,0.01485476,Mordred 2D
